time,open,high,low,close,tick_volume,spread,real_volume
2025-10-01 07:24:00,3862.43,3862.59,3860.33,3860.94,363,19,0
2025-10-01 07:27:00,3860.95,3861.48,3860.5,3860.96,313,18,0
2025-10-01 07:30:00,3860.97,3861.4,3859.27,3860.18,493,16,0
2025-10-01 07:33:00,3860.18,3860.76,3858.2,3858.31,417,18,0
2025-10-01 07:36:00,3858.29,3858.75,3857.72,3858.21,405,17,0
2025-10-01 07:39:00,3858.17,3858.94,3857.48,3858.55,428,17,0
2025-10-01 07:42:00,3858.56,3858.9,3857.77,3858.82,358,17,0
2025-10-01 07:45:00,3858.83,3860.75,3858.83,3860.71,313,17,0
2025-10-01 07:48:00,3860.76,3861.68,3860.31,3861.61,360,16,0
2025-10-01 07:51:00,3861.61,3863.59,3861.58,3863.1,432,16,0
2025-10-01 07:54:00,3863.15,3864.32,3862.73,3864.3,401,16,0
2025-10-01 07:57:00,3864.32,3864.99,3863.28,3864.85,335,16,0
2025-10-01 08:00:00,3864.89,3866.83,3864.72,3866.35,743,16,0
2025-10-01 08:03:00,3866.34,3869.86,3865.97,3868.92,774,16,0
2025-10-01 08:06:00,3868.95,3869.39,3863.25,3863.66,765,16,0
2025-10-01 08:09:00,3863.63,3864.84,3863.26,3864.71,524,17,0
2025-10-01 08:12:00,3864.73,3865.06,3863.34,3864.2,379,17,0
2025-10-01 08:15:00,3864.13,3866.79,3864.13,3866.0,426,18,0
2025-10-01 08:18:00,3865.98,3867.68,3865.75,3866.82,319,17,0
2025-10-01 08:21:00,3866.81,3868.0,3866.27,3867.62,439,17,0
2025-10-01 08:24:00,3867.63,3868.37,3865.25,3865.25,458,17,0
2025-10-01 08:27:00,3865.18,3866.37,3864.96,3865.7,430,17,0
2025-10-01 08:30:00,3865.66,3866.23,3864.38,3864.38,314,16,0
2025-10-01 08:33:00,3864.46,3866.45,3863.61,3865.5,358,19,0
2025-10-01 08:36:00,3865.51,3865.92,3863.41,3863.74,318,19,0
2025-10-01 08:39:00,3863.69,3864.0,3863.16,3863.72,300,20,0
2025-10-01 08:42:00,3863.74,3865.01,3862.57,3862.8,229,17,0
2025-10-01 08:45:00,3862.94,3863.74,3862.13,3862.9,382,18,0
2025-10-01 08:48:00,3862.93,3864.15,3862.5,3863.55,357,19,0
2025-10-01 08:51:00,3863.51,3863.79,3862.59,3862.59,318,17,0
2025-10-01 08:54:00,3862.63,3864.18,3862.57,3864.1,343,17,0
2025-10-01 08:57:00,3864.12,3864.3,3862.42,3863.5,372,17,0
2025-10-01 09:00:00,3863.43,3864.4,3861.01,3861.08,496,18,0
2025-10-01 09:03:00,3861.15,3862.84,3860.21,3862.84,416,17,0
2025-10-01 09:06:00,3862.87,3863.45,3859.84,3860.28,411,20,0
2025-10-01 09:09:00,3860.26,3860.45,3858.99,3859.94,534,17,0
2025-10-01 09:12:00,3859.92,3860.98,3858.51,3858.63,483,18,0
2025-10-01 09:15:00,3858.56,3858.78,3857.72,3858.13,410,17,0
