time,open,high,low,close,tick_volume,spread,real_volume
2025-10-01 09:00:00,3863.43,3864.4,3858.99,3859.94,1857,17,0
2025-10-01 09:12:00,3859.92,3860.98,3853.35,3855.81,2450,17,0
2025-10-01 09:24:00,3855.79,3862.23,3855.67,3861.92,2296,16,0
2025-10-01 09:36:00,3861.87,3864.82,3859.87,3864.17,2279,16,0
2025-10-01 09:48:00,3864.29,3864.6,3857.84,3859.17,2303,16,0
2025-10-01 10:00:00,3859.16,3864.65,3858.95,3864.3,2636,16,0
2025-10-01 10:12:00,3864.3,3870.38,3864.29,3869.3,2870,16,0
2025-10-01 10:24:00,3869.35,3872.15,3867.48,3871.35,2982,16,0
2025-10-01 10:36:00,3871.36,3874.05,3868.18,3872.94,2875,16,0
2025-10-01 10:48:00,3872.96,3879.64,3872.96,3879.19,3229,16,0
2025-10-01 11:00:00,3879.17,3887.65,3879.06,3887.59,3753,16,0
2025-10-01 11:12:00,3887.6,3895.33,3886.51,3892.65,3779,16,0
2025-10-01 11:24:00,3892.7,3894.01,3887.97,3890.41,3231,16,0
2025-10-01 11:36:00,3890.42,3893.79,3888.67,3891.71,3172,16,0
2025-10-01 11:48:00,3891.63,3893.73,3890.42,3892.99,1973,16,0
2025-10-01 12:00:00,3893.02,3895.0,3891.91,3894.63,2021,16,0
2025-10-01 12:12:00,3894.58,3895.06,3884.49,3887.78,2483,16,0
2025-10-01 12:24:00,3887.78,3888.05,3883.66,3885.85,2810,16,0
2025-10-01 12:36:00,3885.87,3891.06,3884.35,3887.95,2575,16,0
2025-10-01 12:48:00,3887.91,3891.49,3887.4,3888.91,1831,16,0
2025-10-01 13:00:00,3888.94,3889.37,3885.71,3887.58,2073,16,0
2025-10-01 13:12:00,3887.6,3889.48,3886.85,3889.06,1801,16,0
2025-10-01 13:24:00,3889.03,3889.47,3885.81,3886.35,2236,16,0
2025-10-01 13:36:00,3886.32,3889.57,3885.16,3888.92,1908,16,0
2025-10-01 13:48:00,3888.92,3889.04,3886.15,3887.61,1645,16,0
2025-10-01 14:00:00,3887.6,3888.45,3884.22,3884.51,1656,16,0
2025-10-01 14:12:00,3884.51,3885.51,3881.04,3884.82,2451,16,0
2025-10-01 14:24:00,3884.99,3885.08,3878.02,3880.12,2330,16,0
2025-10-01 14:36:00,3880.06,3883.93,3879.51,3883.27,1798,17,0
2025-10-01 14:48:00,3883.29,3884.42,3881.04,3883.57,1905,16,0
2025-10-01 15:00:00,3883.73,3885.34,3881.41,3884.49,2485,16,0
2025-10-01 15:12:00,3884.55,3891.09,3883.85,3884.62,4515,16,0
2025-10-01 15:24:00,3884.56,3884.89,3875.4,3876.42,5157,16,0
2025-10-01 15:36:00,3876.4,3878.73,3871.96,3873.23,4386,16,0
2025-10-01 15:48:00,3873.24,3874.17,3864.57,3870.48,4316,16,0
2025-10-01 16:00:00,3870.45,3873.98,3867.03,3869.93,4078,16,0
2025-10-01 16:12:00,3870.11,3870.71,3863.65,3867.73,3978,16,0
2025-10-01 16:24:00,3867.72,3876.98,3865.51,3874.12,4295,16,0
2025-10-01 16:36:00,3874.11,3875.11,3868.93,3874.51,4578,16,0
2025-10-01 16:48:00,3874.48,3874.51,3867.66,3872.89,4077,16,0
2025-10-01 17:00:00,3872.81,3875.89,3869.45,3870.21,4587,16,0
2025-10-01 17:12:00,3870.25,3873.2,3867.56,3870.12,4328,16,0
2025-10-01 17:24:00,3870.13,3878.68,3869.64,3878.33,3820,16,0
2025-10-01 17:36:00,3878.32,3878.47,3862.0,3864.94,3984,16,0
2025-10-01 17:48:00,3864.96,3873.44,3856.39,3872.99,5987,16,0
2025-10-01 18:00:00,3872.96,3876.77,3867.9,3868.82,5029,16,0
2025-10-01 18:12:00,3868.75,3869.68,3860.71,3862.52,4884,16,0
2025-10-01 18:24:00,3862.52,3864.51,3858.01,3863.76,4132,16,0
2025-10-01 18:36:00,3863.78,3866.09,3859.93,3864.82,3551,16,0
2025-10-01 18:48:00,3864.69,3869.7,3863.98,3868.49,3114,16,0
2025-10-01 19:00:00,3868.48,3868.58,3860.68,3868.15,3291,17,0
2025-10-01 19:12:00,3868.16,3869.5,3866.79,3868.28,2870,16,0
2025-10-01 19:24:00,3868.36,3871.18,3868.05,3870.11,2456,16,0
2025-10-01 19:36:00,3870.13,3871.51,3869.36,3871.03,2320,16,0
2025-10-01 19:48:00,3871.05,3871.37,3869.45,3870.86,2092,16,0
2025-10-01 20:00:00,3870.87,3871.29,3868.55,3870.08,2095,16,0
2025-10-01 20:12:00,3870.11,3871.68,3868.83,3871.42,2024,16,0
2025-10-01 20:24:00,3871.31,3871.82,3868.89,3869.45,2164,16,0
2025-10-01 20:36:00,3869.46,3869.75,3861.47,3861.93,2364,16,0
2025-10-01 20:48:00,3861.96,3865.01,3860.58,3860.77,2591,16,0
2025-10-01 21:00:00,3860.81,3860.81,3855.03,3857.83,3447,16,0
2025-10-01 21:12:00,3857.86,3864.89,3857.86,3864.43,2848,16,0
2025-10-01 21:24:00,3864.47,3866.28,3862.79,3865.06,2193,16,0
2025-10-01 21:36:00,3865.09,3865.67,3858.09,3861.84,2804,16,0
2025-10-01 21:48:00,3861.83,3863.8,3861.23,3862.13,2122,16,0
2025-10-01 22:00:00,3862.19,3865.94,3861.39,3865.66,1922,16,0
2025-10-01 22:12:00,3865.67,3866.62,3863.7,3863.84,2094,16,0
2025-10-01 22:24:00,3863.85,3865.58,3863.55,3864.69,1588,16,0
2025-10-01 22:36:00,3864.74,3869.64,3864.2,3869.53,2152,16,0
2025-10-01 22:48:00,3869.5,3870.97,3866.2,3867.76,2464,16,0
2025-10-01 23:00:00,3867.74,3867.8,3860.34,3863.37,1783,16,0
2025-10-01 23:12:00,3863.37,3863.5,3860.89,3862.26,952,16,0
2025-10-01 23:24:00,3862.26,3865.07,3861.58,3864.67,1054,16,0
2025-10-01 23:36:00,3864.65,3864.69,3863.05,3863.8,857,16,0
2025-10-01 23:48:00,3863.81,3865.85,3863.19,3865.57,1079,16,0
2025-10-02 01:00:00,3866.71,3870.59,3861.15,3862.88,1290,20,0
2025-10-02 01:12:00,3862.87,3863.43,3858.7,3860.34,916,21,0
2025-10-02 01:24:00,3860.37,3861.49,3859.22,3861.17,837,22,0
2025-10-02 01:36:00,3861.16,3863.98,3860.16,3863.37,734,23,0
2025-10-02 01:48:00,3863.38,3863.71,3861.63,3862.11,477,22,0
2025-10-02 02:00:00,3861.89,3864.42,3861.49,3863.99,924,17,0
2025-10-02 02:12:00,3863.95,3866.19,3861.82,3865.99,726,17,0
2025-10-02 02:24:00,3865.97,3866.61,3862.0,3862.06,850,16,0
2025-10-02 02:36:00,3862.05,3863.55,3857.62,3862.78,1805,16,0
2025-10-02 02:48:00,3862.8,3865.26,3861.49,3863.44,1312,16,0
2025-10-02 03:00:00,3863.28,3863.69,3857.51,3858.3,2370,17,0
2025-10-02 03:12:00,3858.34,3860.28,3856.46,3859.79,1918,17,0
2025-10-02 03:24:00,3859.71,3860.75,3857.09,3857.87,1516,16,0
2025-10-02 03:36:00,3857.84,3858.84,3857.08,3858.27,1110,16,0
2025-10-02 03:48:00,3858.26,3861.24,3855.96,3856.06,1855,17,0
2025-10-02 04:00:00,3856.0,3859.34,3852.83,3858.97,3001,16,0
2025-10-02 04:12:00,3858.98,3863.59,3857.99,3863.52,1777,16,0
2025-10-02 04:24:00,3863.53,3864.9,3862.91,3864.58,1926,16,0
2025-10-02 04:36:00,3864.6,3865.14,3862.53,3862.88,1523,16,0
2025-10-02 04:48:00,3862.9,3865.09,3862.87,3865.0,1229,16,0
2025-10-02 05:00:00,3865.04,3867.48,3861.57,3864.58,1976,16,0
2025-10-02 05:12:00,3864.59,3870.0,3862.35,3864.29,2404,16,0
2025-10-02 05:24:00,3864.27,3865.41,3863.15,3864.22,1316,16,0
2025-10-02 05:36:00,3864.2,3865.95,3863.22,3864.95,1488,16,0
2025-10-02 05:48:00,3864.96,3867.36,3864.26,3866.2,1045,17,0
2025-10-02 06:00:00,3866.13,3867.66,3865.08,3866.63,1115,17,0
2025-10-02 06:12:00,3866.57,3869.24,3866.45,3869.12,993,19,0
