time,open,high,low,close,tick_volume,spread,real_volume
2025-10-02 05:06:00,3863.2,3865.11,3863.16,3864.48,738,37,0
2025-10-02 05:12:00,3864.49,3869.9,3862.25,3863.05,1331,32,0
2025-10-02 05:18:00,3863.04,3866.96,3863.03,3864.19,1062,36,0
2025-10-02 05:24:00,3864.17,3865.31,3863.63,3863.9,572,34,0
2025-10-02 05:30:00,3863.78,3864.49,3863.05,3864.12,741,35,0
2025-10-02 05:36:00,3864.1,3864.46,3863.12,3864.25,764,35,0
2025-10-02 05:42:00,3864.24,3865.84,3864.08,3864.85,727,35,0
2025-10-02 05:48:00,3864.86,3866.79,3864.16,3866.79,511,37,0
2025-10-02 05:54:00,3866.71,3867.26,3865.92,3866.1,535,38,0
2025-10-02 06:00:00,3866.03,3867.55,3864.98,3865.36,608,37,0
2025-10-02 06:06:00,3865.3,3866.94,3865.26,3866.52,498,40,0
2025-10-02 06:12:00,3866.53,3869.11,3866.35,3868.65,558,40,0
2025-10-02 06:18:00,3868.76,3869.14,3867.89,3869.02,431,39,0
2025-10-02 06:24:00,3869.07,3869.31,3866.82,3867.11,582,39,0
2025-10-02 06:30:00,3866.96,3867.13,3863.85,3864.42,749,40,0
2025-10-02 06:36:00,3864.34,3865.17,3863.96,3865.12,479,41,0
2025-10-02 06:42:00,3865.11,3865.56,3864.2,3865.44,482,35,0
2025-10-02 06:48:00,3865.45,3865.8,3864.49,3865.37,544,32,0
2025-10-02 06:54:00,3865.35,3866.99,3865.3,3866.45,540,37,0
2025-10-02 07:00:00,3866.46,3867.55,3865.05,3865.61,623,32,0
2025-10-02 07:06:00,3865.73,3866.87,3865.15,3865.66,473,34,0
2025-10-02 07:12:00,3865.46,3866.48,3865.19,3865.9,311,36,0
2025-10-02 07:18:00,3865.92,3866.07,3864.8,3865.31,232,36,0
2025-10-02 07:24:00,3865.29,3866.12,3865.11,3865.93,275,37,0
2025-10-02 07:30:00,3865.92,3866.24,3863.63,3864.13,425,36,0
2025-10-02 07:36:00,3864.17,3865.58,3864.16,3864.94,378,36,0
2025-10-02 07:42:00,3864.97,3865.16,3861.77,3862.08,446,36,0
2025-10-02 07:48:00,3862.11,3863.62,3862.11,3863.02,444,36,0
2025-10-02 07:54:00,3863.05,3864.13,3862.62,3864.09,311,36,0
2025-10-02 08:00:00,3864.07,3867.04,3864.07,3865.47,704,32,0
2025-10-02 08:06:00,3865.47,3868.58,3865.38,3867.74,702,38,0
2025-10-02 08:12:00,3867.72,3869.1,3867.44,3868.23,704,37,0
2025-10-02 08:18:00,3868.24,3868.99,3867.44,3868.99,425,36,0
2025-10-02 08:24:00,3868.98,3871.09,3868.09,3869.29,601,36,0
2025-10-02 08:30:00,3869.3,3869.48,3866.38,3866.38,683,40,0
2025-10-02 08:36:00,3866.38,3867.66,3866.14,3867.62,601,37,0
2025-10-02 08:42:00,3867.66,3868.36,3867.26,3867.68,476,39,0
2025-10-02 08:48:00,3867.65,3868.02,3866.58,3867.48,449,36,0
2025-10-02 08:54:00,3867.48,3868.91,3867.48,3867.73,497,36,0
2025-10-02 09:00:00,3867.97,3871.0,3866.62,3871.0,912,39,0
2025-10-02 09:06:00,3870.96,3871.6,3869.23,3870.92,813,32,0
2025-10-02 09:12:00,3870.91,3874.08,3869.82,3873.17,979,34,0
2025-10-02 09:18:00,3873.09,3873.7,3871.9,3873.34,811,36,0
2025-10-02 09:24:00,3873.33,3873.54,3871.55,3871.76,534,38,0
2025-10-02 09:30:00,3871.8,3874.1,3871.51,3873.63,732,36,0
2025-10-02 09:36:00,3873.65,3874.07,3870.83,3871.64,863,36,0
2025-10-02 09:42:00,3871.66,3871.9,3866.98,3869.29,1153,36,0
2025-10-02 09:48:00,3869.28,3869.9,3866.41,3867.88,869,37,0
2025-10-02 09:54:00,3867.94,3867.95,3861.88,3864.01,1358,36,0
2025-10-02 10:00:00,3863.9,3868.18,3863.54,3868.05,1284,37,0
2025-10-02 10:06:00,3868.02,3872.76,3867.26,3871.59,1233,32,0
2025-10-02 10:12:00,3871.59,3874.56,3871.53,3874.38,1109,32,0
2025-10-02 10:18:00,3874.4,3874.71,3869.83,3871.53,1320,32,0
2025-10-02 10:24:00,3871.49,3872.28,3863.4,3864.61,1606,32,0
2025-10-02 10:30:00,3864.59,3866.4,3863.23,3865.92,1398,32,0
2025-10-02 10:36:00,3865.93,3866.48,3861.58,3862.8,906,37,0
2025-10-02 10:42:00,3862.79,3865.76,3862.24,3864.86,973,32,0
2025-10-02 10:48:00,3864.85,3868.4,3864.78,3867.77,1343,32,0
2025-10-02 10:54:00,3867.69,3869.39,3865.53,3868.39,1020,36,0
2025-10-02 11:00:00,3868.36,3868.87,3864.56,3866.71,1199,32,0
2025-10-02 11:06:00,3866.67,3867.34,3864.91,3865.16,1249,36,0
