time,open,high,low,close,tick_volume,spread,real_volume
2025-08-06 04:48:00,3377.46,3377.89,3376.76,3376.92,361,19,0
2025-08-06 04:51:00,3376.91,3377.0,3375.53,3375.54,397,18,0
2025-08-06 04:54:00,3375.56,3375.82,3373.22,3373.35,550,19,0
2025-08-06 04:57:00,3373.38,3376.12,3373.11,3376.09,389,19,0
2025-08-06 05:00:00,3376.07,3376.32,3374.83,3375.22,388,18,0
2025-08-06 05:03:00,3375.21,3376.56,3375.12,3376.56,353,19,0
2025-08-06 05:06:00,3376.57,3377.81,3376.2,3376.44,432,18,0
2025-08-06 05:09:00,3376.34,3376.38,3375.66,3375.66,336,18,0
2025-08-06 05:12:00,3375.64,3375.64,3374.2,3375.08,381,18,0
2025-08-06 05:15:00,3375.13,3376.63,3374.75,3374.75,362,18,0
2025-08-06 05:18:00,3374.76,3374.95,3374.37,3374.5,215,18,0
2025-08-06 05:21:00,3374.49,3376.04,3374.43,3375.52,395,18,0
2025-08-06 05:24:00,3375.52,3375.68,3374.67,3374.79,207,19,0
2025-08-06 05:27:00,3374.8,3375.41,3374.21,3375.4,233,18,0
2025-08-06 05:30:00,3375.36,3375.74,3375.07,3375.72,307,18,0
2025-08-06 05:33:00,3375.71,3377.23,3375.71,3377.05,377,18,0
2025-08-06 05:36:00,3377.0,3377.31,3376.17,3376.56,278,19,0
2025-08-06 05:39:00,3376.54,3377.46,3376.37,3377.21,285,18,0
2025-08-06 05:42:00,3377.14,3377.31,3376.12,3376.18,245,19,0
2025-08-06 05:45:00,3376.2,3376.21,3374.54,3374.57,245,18,0
2025-08-06 05:48:00,3374.55,3376.18,3374.31,3375.65,274,18,0
2025-08-06 05:51:00,3375.68,3375.97,3375.35,3375.54,196,18,0
2025-08-06 05:54:00,3375.54,3375.86,3375.22,3375.44,189,18,0
2025-08-06 05:57:00,3375.44,3376.57,3375.43,3376.26,189,18,0
2025-08-06 06:00:00,3376.27,3377.05,3376.07,3376.63,260,18,0
2025-08-06 06:03:00,3376.7,3377.24,3376.39,3376.64,227,18,0
2025-08-06 06:06:00,3376.62,3377.26,3376.04,3376.06,216,18,0
2025-08-06 06:09:00,3376.0,3376.28,3375.53,3376.16,239,19,0
2025-08-06 06:12:00,3376.2,3376.3,3375.46,3375.66,265,19,0
2025-08-06 06:15:00,3375.69,3376.25,3375.43,3376.08,188,18,0
2025-08-06 06:18:00,3376.08,3377.95,3375.99,3377.83,267,18,0
2025-08-06 06:21:00,3377.83,3378.25,3377.75,3378.04,217,18,0
2025-08-06 06:24:00,3378.03,3378.15,3377.54,3377.77,226,19,0
2025-08-06 06:27:00,3377.73,3377.85,3376.88,3376.95,247,18,0
2025-08-06 06:30:00,3376.94,3377.19,3375.26,3375.31,228,18,0
2025-08-06 06:33:00,3375.27,3376.03,3374.77,3375.46,380,18,0
2025-08-06 06:36:00,3375.48,3375.54,3373.46,3373.56,424,19,0
2025-08-06 06:39:00,3373.57,3375.62,3373.57,3375.53,196,18,0
