time,open,high,low,close,tick_volume,spread,real_volume
2025-08-06 06:12:00,3376.2,3376.3,3375.43,3376.08,453,18,0
2025-08-06 06:18:00,3376.08,3378.25,3375.99,3378.04,484,18,0
2025-08-06 06:24:00,3378.03,3378.15,3376.88,3376.95,473,18,0
2025-08-06 06:30:00,3376.94,3377.19,3374.77,3375.46,608,18,0
2025-08-06 06:36:00,3375.48,3375.62,3373.46,3375.53,620,18,0
2025-08-06 06:42:00,3375.54,3375.54,3374.27,3374.68,339,19,0
2025-08-06 06:48:00,3374.71,3375.21,3374.04,3374.45,315,19,0
2025-08-06 06:54:00,3374.44,3374.94,3373.97,3374.55,260,19,0
2025-08-06 07:00:00,3374.61,3375.54,3374.56,3375.32,245,18,0
2025-08-06 07:06:00,3375.29,3375.45,3374.73,3375.18,277,19,0
2025-08-06 07:12:00,3375.16,3376.47,3374.59,3376.06,359,18,0
2025-08-06 07:18:00,3376.07,3376.07,3375.25,3375.26,263,19,0
2025-08-06 07:24:00,3375.36,3375.39,3374.46,3374.76,280,20,0
2025-08-06 07:30:00,3374.77,3375.07,3374.37,3374.81,216,19,0
2025-08-06 07:36:00,3374.78,3376.1,3374.67,3375.77,343,19,0
2025-08-06 07:42:00,3375.71,3375.71,3374.21,3374.32,276,18,0
2025-08-06 07:48:00,3374.33,3374.72,3372.63,3373.05,347,19,0
2025-08-06 07:54:00,3373.02,3373.46,3372.19,3372.4,315,18,0
2025-08-06 08:00:00,3372.39,3373.2,3372.08,3372.74,558,19,0
2025-08-06 08:06:00,3372.73,3372.74,3371.23,3371.75,426,18,0
2025-08-06 08:12:00,3371.78,3372.27,3371.57,3371.73,418,19,0
2025-08-06 08:18:00,3371.68,3372.72,3370.96,3371.02,452,18,0
2025-08-06 08:24:00,3371.01,3372.04,3370.67,3371.73,440,18,0
2025-08-06 08:30:00,3371.74,3373.84,3371.1,3371.29,737,19,0
2025-08-06 08:36:00,3371.39,3372.75,3370.97,3372.3,471,18,0
2025-08-06 08:42:00,3372.3,3372.4,3370.63,3371.57,402,18,0
2025-08-06 08:48:00,3371.55,3372.99,3371.37,3372.38,346,18,0
2025-08-06 08:54:00,3372.38,3374.67,3372.05,3374.29,511,18,0
2025-08-06 09:00:00,3374.28,3376.74,3373.22,3376.46,789,18,0
2025-08-06 09:06:00,3376.48,3376.54,3375.28,3375.59,599,18,0
2025-08-06 09:12:00,3375.6,3375.98,3374.99,3375.34,525,18,0
2025-08-06 09:18:00,3375.33,3377.31,3374.99,3376.97,459,18,0
2025-08-06 09:24:00,3376.91,3377.93,3376.27,3377.2,796,18,0
2025-08-06 09:30:00,3377.16,3378.64,3376.46,3378.1,546,18,0
2025-08-06 09:36:00,3378.09,3378.47,3376.88,3377.81,597,18,0
2025-08-06 09:42:00,3377.83,3377.84,3375.28,3375.31,633,18,0
2025-08-06 09:48:00,3375.32,3376.15,3374.74,3375.05,653,18,0
2025-08-06 09:54:00,3375.04,3375.23,3373.91,3375.08,637,18,0
2025-08-06 10:00:00,3375.09,3375.11,3372.8,3373.99,675,18,0
2025-08-06 10:06:00,3373.96,3373.96,3372.17,3372.4,682,18,0
2025-08-06 10:12:00,3372.37,3372.74,3371.22,3372.31,599,18,0
2025-08-06 10:18:00,3372.36,3372.61,3369.03,3369.15,629,18,0
2025-08-06 10:24:00,3369.16,3371.0,3369.02,3370.16,686,18,0
2025-08-06 10:30:00,3370.15,3371.86,3370.03,3371.56,485,18,0
2025-08-06 10:36:00,3371.52,3375.03,3371.43,3374.59,735,18,0
2025-08-06 10:42:00,3374.62,3376.48,3373.33,3376.01,872,18,0
2025-08-06 10:48:00,3376.05,3377.08,3375.56,3376.01,786,18,0
2025-08-06 10:54:00,3375.99,3376.16,3373.33,3373.57,844,18,0
2025-08-06 11:00:00,3373.5,3374.78,3371.71,3372.22,882,18,0
2025-08-06 11:06:00,3372.21,3372.21,3368.53,3370.67,873,18,0
2025-08-06 11:12:00,3370.65,3370.75,3367.96,3368.24,925,18,0
2025-08-06 11:18:00,3368.23,3368.27,3366.35,3367.31,796,18,0
2025-08-06 11:24:00,3367.29,3367.74,3365.18,3366.65,659,18,0
2025-08-06 11:30:00,3366.6,3366.78,3364.86,3365.74,688,18,0
2025-08-06 11:36:00,3365.73,3367.49,3365.23,3365.86,820,18,0
2025-08-06 11:42:00,3365.83,3367.08,3365.25,3366.19,694,18,0
2025-08-06 11:48:00,3366.17,3366.69,3365.24,3366.07,443,18,0
2025-08-06 11:54:00,3366.06,3366.78,3364.76,3365.12,491,19,0
