time,open,high,low,close,tick_volume,spread,real_volume
2025-10-01 08:40:00,3863.62,3864.0,3863.37,3863.72,217,20,0
2025-10-01 08:42:00,3863.74,3865.01,3862.92,3862.94,138,17,0
2025-10-01 08:44:00,3862.85,3863.3,3862.13,3862.81,202,21,0
2025-10-01 08:46:00,3862.85,3863.74,3862.22,3862.9,271,18,0
2025-10-01 08:48:00,3862.93,3863.77,3862.5,3863.27,210,19,0
2025-10-01 08:50:00,3863.29,3864.15,3862.77,3863.11,290,20,0
2025-10-01 08:52:00,3863.07,3863.33,3862.59,3862.59,175,17,0
2025-10-01 08:54:00,3862.63,3863.6,3862.57,3863.58,220,17,0
2025-10-01 08:56:00,3863.54,3864.3,3862.89,3863.56,276,17,0
2025-10-01 08:58:00,3863.51,3864.04,3862.42,3863.5,219,17,0
2025-10-01 09:00:00,3863.43,3864.4,3862.92,3863.72,343,18,0
2025-10-01 09:02:00,3863.74,3863.74,3860.21,3861.15,337,19,0
2025-10-01 09:04:00,3861.17,3862.84,3860.95,3862.84,232,17,0
2025-10-01 09:06:00,3862.87,3863.45,3861.25,3861.43,260,20,0
2025-10-01 09:08:00,3861.41,3861.5,3859.0,3859.42,342,19,0
2025-10-01 09:10:00,3859.41,3860.2,3858.99,3859.94,343,17,0
2025-10-01 09:12:00,3859.92,3860.98,3859.45,3859.74,322,18,0
2025-10-01 09:14:00,3859.73,3860.01,3858.03,3858.11,281,20,0
2025-10-01 09:16:00,3858.01,3858.78,3857.72,3858.13,290,17,0
2025-10-01 09:18:00,3858.12,3858.16,3856.2,3856.31,512,17,0
2025-10-01 09:20:00,3856.34,3856.78,3853.35,3853.78,515,17,0
2025-10-01 09:22:00,3853.71,3855.91,3853.71,3855.81,530,17,0
2025-10-01 09:24:00,3855.79,3860.21,3855.67,3859.93,505,17,0
2025-10-01 09:26:00,3859.89,3860.26,3858.48,3859.12,337,17,0
2025-10-01 09:28:00,3859.13,3861.78,3858.09,3861.78,414,17,0
2025-10-01 09:30:00,3861.92,3862.23,3860.68,3861.08,321,17,0
2025-10-01 09:32:00,3861.06,3861.48,3859.08,3860.37,387,16,0
2025-10-01 09:34:00,3860.36,3862.12,3859.77,3861.92,332,16,0
2025-10-01 09:36:00,3861.87,3862.36,3860.23,3860.3,312,16,0
2025-10-01 09:38:00,3860.28,3861.07,3859.87,3860.99,292,17,0
2025-10-01 09:40:00,3861.01,3863.18,3860.48,3863.18,378,16,0
2025-10-01 09:42:00,3863.0,3864.75,3863.0,3864.13,511,16,0
2025-10-01 09:44:00,3864.15,3864.63,3862.8,3863.54,430,16,0
2025-10-01 09:46:00,3863.55,3864.82,3863.09,3864.17,356,16,0
2025-10-01 09:48:00,3864.29,3864.6,3862.79,3863.67,405,16,0
2025-10-01 09:50:00,3863.68,3863.72,3860.67,3861.0,404,17,0
2025-10-01 09:52:00,3861.08,3862.12,3860.73,3861.87,334,16,0
2025-10-01 09:54:00,3861.82,3862.31,3860.64,3860.64,256,16,0
2025-10-01 09:56:00,3860.67,3860.91,3858.71,3858.73,443,16,0
2025-10-01 09:58:00,3858.73,3860.16,3857.84,3859.17,461,16,0
2025-10-01 10:00:00,3859.16,3861.2,3858.95,3859.07,555,17,0
2025-10-01 10:02:00,3859.07,3862.23,3859.06,3861.15,482,16,0
2025-10-01 10:04:00,3861.07,3862.2,3860.07,3861.99,369,16,0
2025-10-01 10:06:00,3861.9,3862.27,3860.23,3862.14,406,16,0
2025-10-01 10:08:00,3862.16,3863.67,3862.14,3862.7,381,16,0
2025-10-01 10:10:00,3862.65,3864.65,3862.65,3864.3,443,16,0
2025-10-01 10:12:00,3864.3,3866.32,3864.29,3866.16,515,16,0
2025-10-01 10:14:00,3866.12,3867.16,3866.09,3866.55,459,16,0
2025-10-01 10:16:00,3866.55,3867.79,3866.29,3867.75,423,16,0
2025-10-01 10:18:00,3867.74,3868.84,3867.34,3868.5,452,16,0
2025-10-01 10:20:00,3868.47,3869.66,3868.05,3869.27,490,16,0
2025-10-01 10:22:00,3869.25,3870.38,3869.01,3869.3,531,17,0
2025-10-01 10:24:00,3869.35,3869.37,3867.9,3868.22,487,17,0
2025-10-01 10:26:00,3868.21,3869.0,3867.48,3867.77,472,17,0
2025-10-01 10:28:00,3867.72,3871.31,3867.7,3870.69,444,17,0
2025-10-01 10:30:00,3870.68,3872.1,3870.26,3870.56,558,17,0
2025-10-01 10:32:00,3870.53,3872.15,3870.38,3871.0,558,16,0
2025-10-01 10:34:00,3871.15,3871.37,3869.98,3871.35,463,18,0
2025-10-01 10:36:00,3871.36,3873.7,3871.35,3873.31,564,16,0
2025-10-01 10:38:00,3873.27,3874.05,3873.04,3873.38,391,16,0
2025-10-01 10:40:00,3873.32,3873.32,3870.16,3870.39,529,16,0
